SESSION   ,ANIMAL_ID,SO,LOC_ID,SEX
1,21,15,16,F
1,8,12,17,F
1,8,15,17,F
1,8,27,17,F
1,5,59,19,F
1,13,14,21,F
1,14,1,22,F
1,14,24,22,F
1,21,30,22,M
1,22,8,22,M
1,17,53,27,M
1,17,61,27,M
1,17,74,27,M
1,18,63,28,M
1,8,14,30,M
1,1,9,31,F
1,11,66,31,F
1,23,31,31,M
1,6,65,33,F
1,6,66,33,F
1,24,69,35,M
1,7,42,12,F
1,9,54,12,F
1,8,49,38,F
1,10,56,38,F
1,19,47,38,M
1,19,67,38,M
1,23,61,38,M
1,23,57,38,M
1,23,49,38,M
1,25,1,38,M
1,3,12,39,F
1,20,69,39,M
1,12,50,40,F
1,16,43,40,M
1,16,29,40,M
1,9,49,13,F
1,15,9,13,F
1,16,24,43,M
1,2,43,46,F
1,16,31,46,M
1,2,21,50,F
1,21,19,52,M
1,4,1,2,F
